task_id	hash	name	tag	status	exit	attempt	realtime	duration	%cpu	peak_rss	peak_vmem	rchar	wchar
36	39/294cf9	OSM_EXTRACT (chunk_00033)	chunk_00033	COMPLETED	0	1	14.8s	16.4s	378.4%	14.4 GB	16.7 GB	2.4 GB	43.8 MB
161	31/cfe591	OSM_TO_SHAPES (grid_25832_36_333)	grid_25832_36_333	COMPLETED	0	1	1.7s	3.4s	102.0%	15.8 MB	176.9 MB	255.9 MB	120.6 MB
155	eb/c5297c	OSM_TO_SHAPES (grid_25832_36_342)	grid_25832_36_342	COMPLETED	0	1	1.8s	3.9s	102.0%	15.8 MB	176.9 MB	537.4 MB	152.6 MB
25	80/50c0b9	OSM_EXTRACT (chunk_00022)	chunk_00022	COMPLETED	0	1	14.6s	16.8s	374.4%	12.6 GB	14.9 GB	2.4 GB	18.4 MB
71	95/cb4557	OSM_EXTRACT (chunk_00068)	chunk_00068	COMPLETED	0	1	14.8s	16.6s	373.5%	12.9 GB	15.3 GB	2.4 GB	22.7 MB
63	1f/2dccfb	OSM_EXTRACT (chunk_00060)	chunk_00060	COMPLETED	0	1	15.5s	17s	359.5%	12.9 GB	15.2 GB	2.4 GB	20 MB
160	7b/5fc078	OSM_TO_SHAPES (grid_25832_36_332)	grid_25832_36_332	COMPLETED	0	1	1.7s	3.8s	100.8%	15.8 MB	176.9 MB	227.1 MB	112.1 MB
162	37/d336bc	OSM_TO_SHAPES (grid_25832_36_334)	grid_25832_36_334	COMPLETED	0	1	3.5s	5.2s	101.3%	247.7 MB	9.6 GB	795.9 MB	293 MB
77	7c/44c542	OSM_EXTRACT (chunk_00074)	chunk_00074	COMPLETED	0	1	14.7s	15.6s	374.9%	12.4 GB	14.7 GB	2.4 GB	20.1 MB
159	f3/e18935	OSM_TO_SHAPES (grid_25832_36_331)	grid_25832_36_331	COMPLETED	0	1	1.6s	2.5s	101.4%	15.9 MB	176.9 MB	192.5 MB	94.7 MB
76	1f/367ed5	OSM_EXTRACT (chunk_00073)	chunk_00073	COMPLETED	0	1	13.9s	15.9s	387.5%	14.1 GB	16.4 GB	2.4 GB	20.8 MB
169	77/649edb	OSM_TO_SHAPES (grid_25832_37_334)	grid_25832_37_334	COMPLETED	0	1	2.4s	4.3s	100.6%	240.4 MB	9.6 GB	352 MB	166.7 MB
170	d4/44324e	OSM_TO_SHAPES (grid_25832_37_335)	grid_25832_37_335	COMPLETED	0	1	2.8s	4.6s	101.7%	241.4 MB	9.6 GB	608.3 MB	230.4 MB
171	e1/aa323d	OSM_TO_SHAPES (grid_25832_37_336)	grid_25832_37_336	COMPLETED	0	1	1.7s	2.4s	101.4%	15.9 MB	176.9 MB	288.3 MB	129.9 MB
31	f2/73795a	OSM_EXTRACT (chunk_00028)	chunk_00028	COMPLETED	0	1	15.1s	16.7s	367.8%	12.2 GB	14.6 GB	2.4 GB	27.1 MB
172	55/eb1663	OSM_TO_SHAPES (grid_25832_37_337)	grid_25832_37_337	COMPLETED	0	1	746ms	1.8s	99.8%	16.2 MB	176.9 MB	95.4 MB	41.1 MB
176	5d/ffce14	OSM_TO_SHAPES (grid_25832_39_328)	grid_25832_39_328	COMPLETED	0	1	180ms	1.2s	100.5%	16 MB	176.9 MB	8 MB	1.9 MB
175	cf/ee3252	OSM_TO_SHAPES (grid_25832_38_348)	grid_25832_38_348	COMPLETED	0	1	870ms	2.2s	102.3%	16.2 MB	176.9 MB	103 MB	50.7 MB
38	ba/c85202	OSM_EXTRACT (chunk_00035)	chunk_00035	COMPLETED	0	1	15.6s	16.8s	377.7%	12.4 GB	14.8 GB	2.4 GB	52.9 MB
52	69/fba60d	OSM_EXTRACT (chunk_00049)	chunk_00049	COMPLETED	0	1	15.1s	16.9s	388.0%	14.1 GB	16.4 GB	2.4 GB	63.1 MB
87	21/d97f19	OSM_EXTRACT (chunk_00084)	chunk_00084	COMPLETED	0	1	13.4s	14.5s	393.0%	11.8 GB	14.2 GB	2.4 GB	6.4 MB
49	66/f364c7	OSM_EXTRACT (chunk_00046)	chunk_00046	COMPLETED	0	1	15.2s	16.9s	368.1%	13.2 GB	15.6 GB	2.4 GB	24.6 MB
177	cc/9d1d79	OSM_TO_SHAPES (grid_25832_39_329)	grid_25832_39_329	COMPLETED	0	1	1.8s	4.2s	103.0%	15.8 MB	176.9 MB	212.4 MB	103.3 MB
54	c4/1e5fa9	OSM_EXTRACT (chunk_00051)	chunk_00051	COMPLETED	0	1	13.9s	15.3s	383.1%	13.8 GB	16.2 GB	2.4 GB	14.5 MB
178	ff/a20272	OSM_TO_SHAPES (grid_25832_39_330)	grid_25832_39_330	COMPLETED	0	1	2.6s	4.3s	101.8%	247.3 MB	9.6 GB	711.6 MB	244.5 MB
66	55/452823	OSM_EXTRACT (chunk_00063)	chunk_00063	COMPLETED	0	1	13.2s	14.7s	395.0%	13.1 GB	15.5 GB	2.4 GB	11.7 MB
180	04/2fa8a1	OSM_TO_SHAPES (grid_25832_38_328)	grid_25832_38_328	COMPLETED	0	1	499ms	2.8s	104.0%	16 MB	176.9 MB	40.8 MB	17.8 MB
